     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        95    0.4580000000E+03    0.4655666676E+03    0.7560000000E+04    0.3434411305E+01    0.1432121212E-03
        96    0.4450000000E+03    0.4352232720E+03    0.7290000000E+04    0.4953551536E+01    0.3090909091E-03
        97    0.4640000000E+03    0.4748805188E+03    0.7695000000E+04    0.3858442817E+01    0.3433030303E-03
        98    0.4660000000E+03    0.4747217844E+03    0.7155000000E+04    0.2961158337E+01    0.2863939394E-03
        99    0.4860000000E+03    0.4916801927E+03    0.7695000000E+04    0.3021036982E+01    0.3133636364E-03
       100    0.4610000000E+03    0.4714399560E+03    0.7560000000E+04    0.3638612917E+01    0.2846818182E-03
       101    0.4640000000E+03    0.4429312506E+03    0.7020000000E+04    0.4319033022E+01    0.3286060606E-03
       102    0.4750000000E+03    0.4682144594E+03    0.7290000000E+04    0.3416322506E+01    0.2830909091E-03
       103    0.4190000000E+03    0.4127030516E+03    0.5775000000E+04    0.3975888385E+01    0.3230955711E-03
       104    0.4180000000E+03    0.4206294903E+03    0.5670000000E+04    0.3418151785E+01    0.3019393939E-03
       105    0.4020000000E+03    0.4115895057E+03    0.5460000000E+04    0.3335237284E+01    0.2403170163E-03
       106    0.3980000000E+03    0.4147603740E+03    0.5880000000E+04    0.3434411305E+01    0.1425454545E-03
       107    0.4110000000E+03    0.3862792586E+03    0.5670000000E+04    0.4953551536E+01    0.3090909091E-03
       108    0.4280000000E+03    0.4229982788E+03    0.5985000000E+04    0.3858442817E+01    0.3403543124E-03
       109    0.4150000000E+03    0.4263697595E+03    0.5565000000E+04    0.2961158337E+01    0.2821631702E-03
       110    0.4250000000E+03    0.4397598457E+03    0.5985000000E+04    0.3021036982E+01    0.3099020979E-03
       111    0.4120000000E+03    0.4205164836E+03    0.5880000000E+04    0.3638612917E+01    0.2824382284E-03
       112    0.4100000000E+03    0.3956399294E+03    0.5460000000E+04    0.4319033022E+01    0.3264522145E-03
       113    0.4150000000E+03    0.4189617800E+03    0.5670000000E+04    0.3416322506E+01    0.2789370629E-03
       114    0.5820000000E+03    0.5708214161E+03    0.8256000000E+04    0.1366423588E+01    0.6444444444E-03
       115    0.5240000000E+03    0.5587074772E+03    0.8064000000E+04    0.1421087031E+01    0.5761977671E-03
       116    0.5830000000E+03    0.5584028466E+03    0.7680000000E+04    0.1095987528E+01    0.6288325359E-03
       117    0.5690000000E+03    0.5559192570E+03    0.8064000000E+04    0.1583797990E+01    0.5884210526E-03
       118    0.5360000000E+03    0.5342493144E+03    0.7488000000E+04    0.1531453897E+01    0.5149867092E-03
       119    0.5770000000E+03    0.5766584963E+03    0.8064000000E+04    0.1054337437E+01    0.7056459330E-03
       120    0.5650000000E+03    0.5558820757E+03    0.8064000000E+04    0.1514362384E+01    0.5666921850E-03
       121    0.5620000000E+03    0.5633547050E+03    0.7680000000E+04    0.1061170715E+01    0.6848272196E-03
       122    0.5220000000E+03    0.5288751401E+03    0.6966000000E+04    0.1366423588E+01    0.6044444444E-03
       123    0.5040000000E+03    0.5178432100E+03    0.6804000000E+04    0.1421087031E+01    0.5385614035E-03
       124    0.5160000000E+03    0.5187624822E+03    0.6480000000E+04    0.1095987528E+01    0.5832719298E-03
       125    0.5170000000E+03    0.5152508940E+03    0.6804000000E+04    0.1583797990E+01    0.5534210526E-03
       126    0.5110000000E+03    0.4964520579E+03    0.6318000000E+04    0.1531453897E+01    0.4820321637E-03
       127    0.5180000000E+03    0.5348079529E+03    0.6804000000E+04    0.1054337437E+01    0.6547368421E-03
       128    0.5240000000E+03    0.5152092092E+03    0.6804000000E+04    0.1514362384E+01    0.5316315789E-03
       129    0.5030000000E+03    0.5233169028E+03    0.6480000000E+04    0.1061170715E+01    0.6339181287E-03
       130    0.4830000000E+03    0.4873861470E+03    0.5676000000E+04    0.1366423588E+01    0.5705982906E-03
       131    0.4570000000E+03    0.4774092046E+03    0.5544000000E+04    0.1421087031E+01    0.5067152497E-03
       132    0.4820000000E+03    0.4796429701E+03    0.5280000000E+04    0.1095987528E+01    0.5447206478E-03
       133    0.4700000000E+03    0.4749826537E+03    0.5544000000E+04    0.1583797990E+01    0.5238056680E-03
       134    0.4590000000E+03    0.4590315402E+03    0.5148000000E+04    0.1531453897E+01    0.4541475484E-03
       135    0.4900000000E+03    0.4935394060E+03    0.5544000000E+04    0.1054337437E+01    0.6116599190E-03
       136    0.4850000000E+03    0.4749371581E+03    0.5544000000E+04    0.1514362384E+01    0.5019649123E-03
       137    0.4830000000E+03    0.4838610971E+03    0.5280000000E+04    0.1061170715E+01    0.5908412056E-03
       138    0.5870000000E+03    0.5648629786E+03    0.8111307140E+04    0.9589137107E+00    0.4985007974E-03
       139    0.5710000000E+03    0.5635289325E+03    0.7807526111E+04    0.9368026160E+00    0.5972993089E-03
       140    0.5780000000E+03    0.5706862180E+03    0.8192827132E+04    0.1042110714E+01    0.5691578947E-03
       141    0.5260000000E+03    0.5571811808E+03    0.8111307140E+04    0.1314063380E+01    0.5037033493E-03
       142    0.5350000000E+03    0.5472035489E+03    0.7737670069E+04    0.1209664485E+01    0.4894258373E-03
       143    0.5720000000E+03    0.5681943362E+03    0.8030598286E+04    0.8719648830E+00    0.5495640617E-03
       144    0.5620000000E+03    0.5717484733E+03    0.8336621228E+04    0.1186646448E+01    0.5691780968E-03
       145    0.5630000000E+03    0.5577675766E+03    0.8126157296E+04    0.1170773665E+01    0.4617490696E-03
       146    0.5830000000E+03    0.5624912349E+03    0.7965248601E+04    0.1056386999E+01    0.5557682084E-03
       147    0.5850000000E+03    0.5483001218E+03    0.7585569213E+04    0.1026010354E+01    0.5098755981E-03
       148    0.5920000000E+03    0.5561786536E+03    0.7885993053E+04    0.1135819887E+01    0.5273258905E-03
       149    0.5730000000E+03    0.5724671046E+03    0.8336621228E+04    0.1060831979E+01    0.5403838384E-03
       150    0.5360000000E+03    0.5818974323E+03    0.8561935315E+04    0.1039912132E+01    0.5692876130E-03
       151    0.5570000000E+03    0.5529521002E+03    0.7660678966E+04    0.9931153871E+00    0.5318841042E-03
       152    0.5520000000E+03    0.5238024108E+03    0.6843915400E+04    0.9589137107E+00    0.4612280702E-03
       153    0.5190000000E+03    0.5232268862E+03    0.6587600156E+04    0.9368026160E+00    0.5509356725E-03
       154    0.5240000000E+03    0.5290010067E+03    0.6912697893E+04    0.1042110714E+01    0.5286578947E-03
       155    0.5080000000E+03    0.5165338132E+03    0.6843915400E+04    0.1314063380E+01    0.4719912281E-03
       156    0.4900000000E+03    0.5081150913E+03    0.6528659121E+04    0.1209664485E+01    0.4549561404E-03
       157    0.5500000000E+03    0.5269349378E+03    0.6775817304E+04    0.8719648830E+00    0.5044883041E-03
       158    0.5150000000E+03    0.5297008300E+03    0.7034024161E+04    0.1186646448E+01    0.5329356725E-03
       159    0.5300000000E+03    0.5171266665E+03    0.6856445219E+04    0.1170773665E+01    0.4310672515E-03
       160    0.5460000000E+03    0.5219625387E+03    0.6720678507E+04    0.1056386999E+01    0.5163742690E-03
       161    0.5350000000E+03    0.5096335755E+03    0.6400324023E+04    0.1026010354E+01    0.4714210526E-03
       162    0.5500000000E+03    0.5161929805E+03    0.6653806639E+04    0.1135819887E+01    0.4902046784E-03
       163    0.5420000000E+03    0.5302066688E+03    0.7034024161E+04    0.1060831979E+01    0.5012777778E-03
       164    0.5920000000E+03    0.5385913749E+03    0.7224132922E+04    0.1039912132E+01    0.5304239766E-03
       165    0.5240000000E+03    0.5137519689E+03    0.6463697877E+04    0.9931153871E+00    0.4910204678E-03
       166    0.4970000000E+03    0.4831679476E+03    0.5576523659E+04    0.9589137107E+00    0.4296896086E-03
       167    0.4910000000E+03    0.4834548724E+03    0.5367674201E+04    0.9368026160E+00    0.5117049033E-03
       168    0.4630000000E+03    0.4877787944E+03    0.5632568653E+04    0.1042110714E+01    0.4943886640E-03
       169    0.4640000000E+03    0.4762489810E+03    0.5576523659E+04    0.1314063380E+01    0.4451578947E-03
       170    0.4590000000E+03    0.4694206937E+03    0.5319648173E+04    0.1209664485E+01    0.4257894737E-03
       171    0.4890000000E+03    0.4861908488E+03    0.5521036321E+04    0.8719648830E+00    0.4663472785E-03
       172    0.4770000000E+03    0.4880675128E+03    0.5731427094E+04    0.1186646448E+01    0.5022690058E-03
       173    0.4690000000E+03    0.4768365132E+03    0.5586733141E+04    0.1170773665E+01    0.4051057130E-03
